passenger_id,passenger_name,signup_date,total_rides,total_spent,rating
201.00 ,Nitya Varma,10-16-2022,12.00 ,200.11 ,3.54 
202.00 ,Purab Jani,01-11-2023,60.00 ,368.52 ,3.94 
203.00 ,Samar Raman,09-12-2022,91.00 ,1647.27 ,4.29 
204.00 ,Tanya Dutt,03-09-2023,35.00 ,131.80 ,4.58 
205.00 ,Badal Mangal,04-04-2023,49.00 ,933.96 ,4.47 
206.00 ,Krish Upadhyay,02-02-2023,60.00 ,1314.80 ,3.41 
207.00 ,Riaan Kaul,10-09-2022,53.00 ,254.75 ,3.28 
208.00 ,Dhanush Sodhi,08-10-2022,75.00 ,1312.28 ,4.39 
209.00 ,Sana Gill,06-11-2023,76.00 ,592.57 ,4.07 
210.00 ,Aayush Singh,6-20-2023,64.00 ,1625.33 ,4.42 
211.00 ,Hazel Jhaveri,5-15-2023,71.00 ,856.42 ,3.93 
212.00 ,Tanya Chad,04-07-2023,38.00 ,688.68 ,4.14 
213.00 ,Pranay Shanker,2-13-2023,14.00 ,1224.48 ,4.60 
214.00 ,Neelofar Bhandari,11-01-2022,58.00 ,340.76 ,4.54 
215.00 ,Hazel Jaggi,01-03-2023,85.00 ,837.11 ,3.35 
216.00 ,Zain Thakur,9-25-2022,77.00 ,230.33 ,3.98 
217.00 ,Uthkarsh Gara,09-07-2022,76.00 ,1120.46 ,4.43 
218.00 ,Mahika Deep,9-13-2022,15.00 ,1035.58 ,4.04 
219.00 ,Dhanuk Tara,2-19-2023,74.00 ,1606.80 ,4.27 
220.00 ,Aarush Manne,05-03-2023,42.00 ,140.89 ,4.13 
221.00 ,Kiaan Karan,01-08-2023,40.00 ,1978.25 ,3.22 
222.00 ,Kiara Rao,6-16-2023,91.00 ,627.24 ,3.11 
223.00 ,Kavya Sama,02-11-2023,48.00 ,151.50 ,3.93 
224.00 ,Ehsaan Sastry,03-12-2023,98.00 ,453.00 ,3.30 
225.00 ,Rhea Khosla,05-07-2023,46.00 ,1040.97 ,3.57 
226.00 ,Mehul Butala,1-30-2023,73.00 ,855.40 ,3.61 
227.00 ,Shlok Shere,12-01-2022,26.00 ,761.53 ,4.50 
228.00 ,Hrishita Gara,10-14-2022,14.00 ,1410.46 ,4.37 
229.00 ,Lavanya Ganesh,3-17-2023,87.00 ,584.41 ,3.45 
230.00 ,Vidur Goda,9-26-2022,37.00 ,849.50 ,3.45 
231.00 ,Ira Ben,02-10-2023,23.00 ,171.23 ,4.79 
232.00 ,Indrans De,6-29-2023,44.00 ,1283.68 ,3.90 
233.00 ,Indrans Gandhi,03-08-2023,85.00 ,624.37 ,4.16 
234.00 ,Anya Thaman,1-20-2023,99.00 ,558.22 ,4.28 
235.00 ,Ojas Chandran,12-12-2022,39.00 ,160.28 ,3.37 
236.00 ,Shamik Bala,8-30-2022,40.00 ,1444.81 ,4.51 
237.00 ,Saira Jayaraman,2-19-2023,78.00 ,350.41 ,4.19 
238.00 ,Lakshit Batra,12-04-2022,62.00 ,1998.98 ,4.15 
239.00 ,Shlok Brahmbhatt,11-12-2022,51.00 ,966.90 ,4.60 
240.00 ,Darshit Shere,1-28-2023,67.00 ,997.01 ,4.75 
241.00 ,Saanvi Bandi,2-21-2023,85.00 ,1676.78 ,4.47 
242.00 ,Nirvaan Buch,5-17-2023,76.00 ,1864.08 ,4.95 
243.00 ,Mannat Kulkarni,01-09-2023,46.00 ,418.09 ,3.63 
244.00 ,Indranil Hari,12-22-2022,88.00 ,726.21 ,3.92 
245.00 ,Himmat Banik,2-16-2023,13.00 ,537.54 ,4.98 
246.00 ,Uthkarsh Shan,2-23-2023,26.00 ,1304.86 ,3.07 
247.00 ,Kimaya Jha,2-27-2023,47.00 ,208.07 ,4.18 
248.00 ,Dhruv Joshi,9-28-2022,43.00 ,1092.26 ,4.90 
249.00 ,Tejas Mangal,04-07-2023,51.00 ,756.02 ,4.14 
250.00 ,Eva Dhar,01-11-2023,74.00 ,1356.22 ,3.82 
251.00 ,Aarav Dube,3-22-2023,71.00 ,495.40 ,3.47 
252.00 ,Nitara Viswanathan,10-22-2022,45.00 ,425.07 ,3.24 
253.00 ,Diya Ravel,9-20-2022,65.00 ,119.06 ,3.28 
254.00 ,Hiran Shah,07-11-2023,38.00 ,412.09 ,4.18 
255.00 ,Lavanya Kohli,12-27-2022,78.00 ,1595.73 ,3.57 
256.00 ,Manikya Gour,1-25-2023,22.00 ,462.08 ,3.87 
257.00 ,Raghav Wadhwa,1-13-2023,12.00 ,1248.51 ,3.39 
258.00 ,Faiyaz Soman,07-07-2023,87.00 ,856.44 ,4.26 
259.00 ,Myra Rajagopal,4-18-2023,94.00 ,526.36 ,4.58 
260.00 ,Kiara Yohannan,10-29-2022,29.00 ,373.69 ,4.56 
261.00 ,Parinaaz Chad,10-04-2022,23.00 ,267.29 ,3.89 
262.00 ,Arhaan Dua,05-05-2023,69.00 ,785.32 ,3.18 
