driver_id,driver_name,join_date,rating,total_rides,earnings
101.00 ,Seher Bava,08-03-2023,4.63 ,112.00 ,1442.10 
102.00 ,Uthkarsh Dayal,10-25-2022,3.36 ,433.00 ,4818.06 
103.00 ,Ayesha Reddy,10-17-2022,4.98 ,466.00 ,1613.25 
104.00 ,Veer D’Alia,3-26-2023,3.50 ,426.00 ,3664.06 
105.00 ,Zoya Dixit,1-21-2023,4.21 ,95.00 ,3880.99 
106.00 ,Farhan Bajwa,6-25-2023,3.40 ,66.00 ,3561.11 
107.00 ,Nirvi Ganesh,10-01-2022,4.96 ,299.00 ,3369.56 
108.00 ,Charvi Taneja,2-19-2023,3.53 ,260.00 ,2971.04 
109.00 ,Vanya Mane,01-02-2023,3.45 ,461.00 ,4950.14 
110.00 ,Zeeshan Doctor,7-20-2023,4.89 ,101.00 ,763.17 
111.00 ,Bhamini Bhattacharyya,01-11-2023,4.17 ,194.00 ,1261.25 
112.00 ,Samar Bahri,1-30-2023,4.42 ,219.00 ,3734.68 
113.00 ,Fateh Raval,08-02-2023,4.84 ,361.00 ,1534.21 
114.00 ,Hridaan Bajaj,7-31-2023,4.77 ,163.00 ,3225.29 
115.00 ,Kabir Kothari,06-09-2023,4.33 ,337.00 ,2173.77 
116.00 ,Shanaya Saran,6-27-2023,4.18 ,157.00 ,574.87 
117.00 ,Sumer Lala,03-12-2023,3.02 ,105.00 ,3795.24 
118.00 ,Advika Reddy,10-04-2022,3.70 ,265.00 ,1847.12 
119.00 ,Shaan Kota,11-15-2022,4.77 ,429.00 ,1256.51 
120.00 ,Vanya Manne,9-27-2022,4.11 ,123.00 ,4782.26 
121.00 ,Advika Chauhan,6-28-2023,3.45 ,405.00 ,1712.38 
122.00 ,Sana Dhar,05-12-2023,3.52 ,193.00 ,4681.30 
123.00 ,Romil Ghosh,10-21-2022,3.56 ,101.00 ,1967.46 
124.00 ,Shaan Ratti,9-14-2022,3.49 ,117.00 ,4861.23 
125.00 ,Jayant Chander,10-30-2022,3.99 ,273.00 ,700.03 
126.00 ,Raunak Balay,7-23-2023,4.99 ,353.00 ,1436.15 
127.00 ,Vivaan Kadakia,5-20-2023,4.31 ,157.00 ,4330.07 
128.00 ,Vidur Rajagopal,02-07-2023,3.17 ,225.00 ,2826.55 
129.00 ,Aarush Mammen,4-13-2023,3.35 ,387.00 ,2098.31 
